Word,Valence,ValenceCategory,Arousal,ArousalCategory,CategoryIndex
rehearse,0.10499999999999998,L,-0.19999999999999996,M,1
reign,0.10000000000000009,L,-0.20750000000000002,M,1
reigning,0.0625,L,-0.17500000000000004,M,1
reimburse,0.31000000000000005,M,0.07250000000000001,H,5
rein,-0.05249999999999999,L,-0.5575,L,0
reincarnation,0.1399999999999999,M,-0.050000000000000044,H,5
reindeer,0.405,H,-0.35250000000000004,L,6
reinforce,0.13250000000000006,M,-0.26,M,4
reinforcement,0.0,L,-0.17500000000000004,M,1
reins,0.02750000000000008,L,-0.44999999999999996,L,0
reinstate,0.02750000000000008,L,-0.4175,L,0
reiterate,-0.02499999999999991,L,-0.345,L,0
reject,-0.5125,L,-0.05499999999999994,H,2
rejected,-0.65,L,-0.07499999999999996,H,2
rejection,-0.6,L,0.012499999999999956,H,2
rejoice,0.5349999999999999,H,0.1399999999999999,H,8
rejoin,0.2124999999999999,M,-0.43500000000000005,L,3
rekindle,0.2975000000000001,M,-0.1625000000000001,M,4
relapse,-0.5225,L,-0.23750000000000004,M,1
relate,0.26249999999999996,M,-0.33999999999999997,L,3
relation,0.20999999999999996,M,-0.15999999999999992,M,4
relationship,0.7075,H,0.0,H,8
relative,0.2250000000000001,M,-0.28500000000000003,M,4
relativity,0.19999999999999996,M,-0.405,L,3
relax,0.7050000000000001,H,-0.655,L,6
relaxation,0.75,H,-0.4625,L,6
relaxed,0.5625,H,-0.6275,L,6
relaxing,0.7974999999999999,H,-0.1775,M,7
relay,-0.03499999999999992,L,-0.1875,M,1
release,0.4099999999999999,H,-0.11250000000000004,H,8
relentless,0.0,L,-0.06499999999999995,H,2
relevance,0.17500000000000004,M,-0.040000000000000036,H,5
relevant,0.20999999999999996,M,-0.5125,L,3
reliable,0.575,H,-0.31000000000000005,M,7
relic,0.25,M,-0.25,M,4
relief,0.4075,H,-0.14500000000000002,H,8
relieve,0.5625,H,-0.275,M,7
religion,0.10499999999999998,L,0.0,H,2
religious,0.050000000000000044,L,-0.09250000000000003,H,2
relinquish,-0.31499999999999995,L,-0.125,H,2
relish,-0.11250000000000004,L,-0.13749999999999996,H,2
relive,0.22249999999999992,M,-0.19500000000000006,M,4
reload,0.03249999999999997,L,-0.1825000000000001,M,1
relocate,-0.23750000000000004,L,-0.15500000000000003,M,1
relocation,-0.09250000000000003,L,-0.19999999999999996,M,1
reluctance,-0.23750000000000004,L,-0.14500000000000002,H,2
reluctant,-0.31000000000000005,L,-0.35,L,0
rely,0.18999999999999995,M,-0.30000000000000004,M,4
remain,0.16999999999999993,M,-0.44999999999999996,L,3
remainder,0.15749999999999997,M,-0.20500000000000007,M,4
